Incident_Number,Area_Occ,Rpt_Dist,Dispatch_Date,Dispatch_Time,Call_Type_Code,Call_Type_Text
PD21031500000011,77th Street,1265,03/15/2021 12:00:00 AM,00:08:27,242D,DOM VIOL
PD21030800002343,77th Street,1268,03/08/2021 12:00:00 AM,13:22:25,620D,DOM VIOL
PD21012600002393,N Hollywood,1543,01/26/2021 12:00:00 AM,13:18:18,242D,DOM VIOL
PD21031600000983,Olympic,2044,03/16/2021 12:00:00 AM,08:12:05,620D,DOM VIOL
PD21010100000337,Newton,1371,01/01/2021 12:00:00 AM,01:01:15,245DS,DOM VIOL SUSP
PD21041900004163,West LA,0842,04/19/2021 12:00:00 AM,21:26:56,242DJ,DOM VIOL J/O
PD21042400002289,77th Street,1253,04/24/2021 12:00:00 AM,14:10:22,242D,DOM VIOL
PD21042800002226,Southwest,0376,04/28/2021 12:00:00 AM,12:36:54,620D,DOM VIOL
PD21032300001991,77th Street,1248,03/23/2021 12:00:00 AM,11:25:28,242D,DOM VIOL
PD21020200004660,Devonshire,1716,02/02/2021 12:00:00 AM,20:45:07,620D,DOM VIOL
PD21033100000993,Foothill,1642,03/31/2021 12:00:00 AM,08:09:19,242D,DOM VIOL
PD21011700000479,Harbor,0557,01/17/2021 12:00:00 AM,02:31:04,242DI,DOM VIOL INVESTIGATI
PD21041000000999,Van Nuys,0911,04/10/2021 12:00:00 AM,07:51:03,242PD,POSS DOM VIOL
PD21021600000892,Harbor,0501,02/16/2021 12:00:00 AM,07:10:33,242AD,AMB DOM VIOL
PD21021300000837,Central,0144,02/13/2021 12:00:00 AM,05:47:28,242DS,DOM VIOL SUSP
PD21032800001812,77th Street,1232,03/28/2021 12:00:00 AM,12:06:14,245D,DOM VIOL
PD21011200000199,77th Street,1208,01/12/2021 12:00:00 AM,01:23:54,242D,DOM VIOL
PD21032000004981,Newton,1309,03/20/2021 12:00:00 AM,22:55:27,245DSN,DOM VIOL SUSP NOW
PD21010300002272,Mission,1917,01/03/2021 12:00:00 AM,15:08:30,242PD,POSS DOM VIOL
PD21060600000270,77th Street,1258,06/06/2021 12:00:00 AM,00:58:46,242D,DOM VIOL
PD21021800004157,Mission,1983,02/18/2021 12:00:00 AM,18:14:01,242DI,DOM VIOL INVESTIGATI
PD21042700004488,Van Nuys,0952,04/27/2021 12:00:00 AM,20:11:00,620DR,DOM VIOL R/O
PD21021300001306,Southeast,1823,02/13/2021 12:00:00 AM,09:20:19,620D,DOM VIOL
PD21051700005161,Northeast,1163,05/18/2021 12:00:00 AM,00:01:48,242D,DOM VIOL
PD21051800004471,Hollywood,0645,05/18/2021 12:00:00 AM,21:09:24,242D,DOM VIOL
PD21021400000072,Central,0182,02/14/2021 12:00:00 AM,00:23:23,242D,DOM VIOL
PD21050300003946,N Hollywood,1583,05/03/2021 12:00:00 AM,19:10:55,620D,DOM VIOL
PD21013100002730,Northeast,1107,01/31/2021 12:00:00 AM,16:09:16,242D,DOM VIOL
PD21042700001869,Hollenbeck,0464,04/27/2021 12:00:00 AM,11:16:21,245DI,DOM VIOL INVEST
PD21031800005699,Newton,1393,03/18/2021 12:00:00 AM,23:42:51,620D,DOM VIOL
PD21021200005287,Southwest,0334,02/12/2021 12:00:00 AM,23:22:19,242D,DOM VIOL
PD21022500002315,Southeast,1804,02/25/2021 12:00:00 AM,12:28:08,242D,DOM VIOL
PD21051400000452,N Hollywood,1548,05/14/2021 12:00:00 AM,02:37:40,620D,DOM VIOL
PD21022000004672,Central,0154,02/20/2021 12:00:00 AM,21:32:48,620D,DOM VIOL
PD21031500002095,West Valley,1027,03/15/2021 12:00:00 AM,13:18:41,242D,DOM VIOL
PD21010600003337,Southwest,0313,01/06/2021 12:00:00 AM,18:10:32,242DI,DOM VIOL INVESTIGATI
PD21033000002067,Mission,1918,03/30/2021 12:00:00 AM,12:08:02,242D,DOM VIOL
PD21050600004644,Wilshire,0763,05/06/2021 12:00:00 AM,20:50:54,245D,DOM VIOL
PD21010600001778,Rampart,0221,01/06/2021 12:00:00 AM,11:26:51,620D,DOM VIOL
PD21022000003654,77th Street,1266,02/20/2021 12:00:00 AM,18:01:20,620DR,DOM VIOL R/O
PD21053000004432,N Hollywood,1535,05/30/2021 12:00:00 AM,20:42:21,620DR,DOM VIOL R/O
PD21021700003441,Olympic,2024,02/17/2021 12:00:00 AM,16:02:58,242D,DOM VIOL
PD21033000004831,Devonshire,1795,03/30/2021 12:00:00 AM,21:44:00,620DR,DOM VIOL R/O
PD21051900005628,Southeast,1862,05/19/2021 12:00:00 AM,23:43:25,245D,DOM VIOL
PD21040500000238,Southwest,0361,04/05/2021 12:00:00 AM,01:14:19,245AD,AMB DOM VIOL
PD21030800002796,Harbor,0516,03/08/2021 12:00:00 AM,15:20:34,242D,DOM VIOL
PD21040400001599,Southeast,1849,04/04/2021 12:00:00 AM,10:22:06,242D,DOM VIOL
PD21041600003149,77th Street,1273,04/16/2021 12:00:00 AM,17:18:15,620D,DOM VIOL
